product_id,product_name,imgpaths,brands,prices,rev_score,category1,category2,category3,r1s,r2s,r3s,r1_info1,r1_sf,r1_info2,r1_nor,r1_info3,r1_usf,r2_info1,r2_sf,r2_info2,r2_nor,r2_info3,r2_usf,r3_info1,r3_sf,r3_info2,r3_nor,r3_info3,r3_usf
A000000177784,[현재PICK] NEW 아벤느 이드랑스 아쿠아 크림-인-젤 EX 50ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017778402ko.jpg?l=ko,아벤느,"31,000",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,38%,복합성에 좋아요,41%,지성에 좋아요,21%,보습에 좋아요,77%,진정에 좋아요,23%,주름/미백에 좋아요,0%,자극없이 순해요,87%,보통이에요,13%,자극이 느껴져요,0%
A000000177778,[한정기획] 라로슈포제 에빠끌라 듀오+ 에센스 40ml 기획 (+시카 토너 50ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017777802ko.jpg?l=ko,라로슈포제,"29,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,11%,복합성에 좋아요,39%,지성에 좋아요,50%,보습에 좋아요,11%,진정에 좋아요,89%,주름/미백에 좋아요,0%,자극없이 순해요,67%,보통이에요,22%,자극이 느껴져요,11%
A000000177777,[한정기획] 라로슈포제 에빠끌라 울트라 컨센트레이티드 세럼 30ml 기획(+에빠폼 15ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017777702ko.jpg?l=ko,라로슈포제,"48,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,20%,복합성에 좋아요,30%,지성에 좋아요,50%,보습에 좋아요,30%,진정에 좋아요,40%,주름/미백에 좋아요,30%,자극없이 순해요,90%,보통이에요,10%,자극이 느껴져요,0%
A000000177776,[한정기획] 라로슈포제 시카플라스트 크림 B5 100ml 기획(+시카세럼 30ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017777602ko.jpg?l=ko,라로슈포제,"94,000",4.6,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,38%,복합성에 좋아요,56%,지성에 좋아요,6%,보습에 좋아요,63%,진정에 좋아요,30%,주름/미백에 좋아요,7%,자극없이 순해요,78%,보통이에요,22%,자극이 느껴져요,0%
A000000177774,[한정기획] 라로슈포제 시카플라스트 크림 B5 100ml 기획 (+시카 크림 15ml *2),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017777402ko.jpg?l=ko,라로슈포제,"46,000",4.6,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,29%,복합성에 좋아요,57%,지성에 좋아요,14%,보습에 좋아요,71%,진정에 좋아요,29%,주름/미백에 좋아요,0%,자극없이 순해요,86%,보통이에요,14%,자극이 느껴져요,0%
A000000177773,[한정기획] 라로슈포제 NEW 시카플라스트 밤B5+ 100ml 기획(+시카토너 50ml+시카밤 3ml*2 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017777308ko.jpg?l=ko,라로슈포제,"38,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,41%,복합성에 좋아요,50%,지성에 좋아요,9%,보습에 좋아요,41%,진정에 좋아요,57%,주름/미백에 좋아요,2%,자극없이 순해요,78%,보통이에요,22%,자극이 느껴져요,0%
A000000177493,[NEW] 라로슈포제 시카플라스트 B5 멀티 리페어 크림 100ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017749301ko.jpg?l=ko,라로슈포제,"46,000",4.6,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,46%,복합성에 좋아요,43%,지성에 좋아요,11%,보습에 좋아요,43%,진정에 좋아요,50%,주름/미백에 좋아요,7%,자극없이 순해요,87%,보통이에요,13%,자극이 느껴져요,0%
A000000175203,[피부 진정 솔루션 PDRx]리쥬란 더마 힐러 모이스처 크림 60g,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017520305ko.jpg?l=ko,리쥬란,"45,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,0%,복합성에 좋아요,100%,지성에 좋아요,0%,보습에 좋아요,25%,진정에 좋아요,75%,주름/미백에 좋아요,0%,자극없이 순해요,50%,보통이에요,50%,자극이 느껴져요,0%
A000000175202,[피부 진정 솔루션 PDRx]리쥬란 더마 힐러 모이스처 트리트먼트 에센스 70g,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017520204ko.jpg?l=ko,리쥬란,"40,000",0,더모 코스메틱,스킨케어,에센스/세럼,None,None,None,None,none,none,none,none,none,None,none,none,none,none,none,None,none,none,none,none,none
A000000175200,[피부 진정 솔루션 PDRx]리쥬란 더마 힐러 모이스춰 트리트먼트 앰플 30ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017520003ko.jpg?l=ko,리쥬란,"45,000",5,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,13%,복합성에 좋아요,75%,지성에 좋아요,13%,보습에 좋아요,25%,진정에 좋아요,75%,주름/미백에 좋아요,0%,자극없이 순해요,50%,보통이에요,50%,자극이 느껴져요,0%
A000000175032,[2022어워즈]리쥬란힐러 턴오버 앰플 듀얼 이펙트 30ml(+1ml*7ea증정) 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017503212ko.jpg?l=ko,리쥬란,"59,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,51%,복합성에 좋아요,47%,지성에 좋아요,2%,보습에 좋아요,45%,진정에 좋아요,15%,주름/미백에 좋아요,40%,자극없이 순해요,62%,보통이에요,38%,자극이 느껴져요,0%
A000000174991,[2022어워즈]에스트라 아토베리어365 크림 80ml 기획(+시카세럼10ml+패드6매),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017499103ko.jpg?l=ko,에스트라,"31,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,50%,복합성에 좋아요,45%,지성에 좋아요,5%,보습에 좋아요,79%,진정에 좋아요,21%,주름/미백에 좋아요,1%,자극없이 순해요,77%,보통이에요,23%,자극이 느껴져요,2%
A000000174374,[한정기획/세븐틴 버논PICK]바이오더마 시카비오 포마드 100ml 더블 기획 (100ml + 100ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017437405ko.jpg?l=ko,바이오더마,"44,200",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,59%,복합성에 좋아요,38%,지성에 좋아요,3%,보습에 좋아요,67%,진정에 좋아요,33%,주름/미백에 좋아요,1%,자극없이 순해요,74%,보통이에요,26%,자극이 느껴져요,1%
A000000174371,[한정기획/세븐틴 디노PICK] 바이오더마 하이드라비오 토너 500ml 기획 (+스킨패드 60매 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017437102ko.jpg?l=ko,바이오더마,"38,000",4.8,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,36%,복합성에 좋아요,54%,지성에 좋아요,10%,보습에 좋아요,64%,진정에 좋아요,36%,주름/미백에 좋아요,1%,자극없이 순해요,75%,보통이에요,25%,자극이 느껴져요,2%
A000000174370,[세븐틴 디노PICK] 바이오더마 하이드라비오 토너 500ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017437002ko.jpg?l=ko,바이오더마,"38,000",5,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,100%,복합성에 좋아요,0%,지성에 좋아요,0%,보습에 좋아요,100%,진정에 좋아요,0%,주름/미백에 좋아요,0%,자극없이 순해요,100%,보통이에요,0%,자극이 느껴져요,0%
A000000174356,아벤느 클리낭스 아쿠아크림-인-젤 50ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017435604ko.jpg?l=ko,아벤느,"32,000",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,100%,복합성에 좋아요,0%,지성에 좋아요,0%,보습에 좋아요,50%,진정에 좋아요,50%,주름/미백에 좋아요,0%,자극없이 순해요,100%,보통이에요,0%,자극이 느껴져요,0%
A000000174316,라로슈포제 NEW 시카플라스트 밤B5+ 40ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017431602ko.jpg?l=ko,라로슈포제,"24,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,28%,복합성에 좋아요,68%,지성에 좋아요,5%,보습에 좋아요,31%,진정에 좋아요,69%,주름/미백에 좋아요,0%,자극없이 순해요,72%,보통이에요,26%,자극이 느껴져요,2%
A000000174313,[한정기획] 라로슈포제 히알루B5 세럼 30ml 기획 (히알루B5 세럼+3ml*2EA),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017431302ko.jpg?l=ko,라로슈포제,"52,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,60%,복합성에 좋아요,40%,지성에 좋아요,0%,보습에 좋아요,80%,진정에 좋아요,18%,주름/미백에 좋아요,2%,자극없이 순해요,77%,보통이에요,21%,자극이 느껴져요,2%
A000000174311,[한정기획] 라로슈포제 시카플라스트 울트라 리페어 세럼 30ml 기획 (+시카 세럼 10ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017431102ko.jpg?l=ko,라로슈포제,"48,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,33%,복합성에 좋아요,56%,지성에 좋아요,12%,보습에 좋아요,48%,진정에 좋아요,48%,주름/미백에 좋아요,4%,자극없이 순해요,79%,보통이에요,19%,자극이 느껴져요,2%
A000000174304,유리아쥬 오떼르말 오에센스 100ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017430401ko.jpg?l=ko,유리아쥬,"36,000",4.8,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,0%,복합성에 좋아요,100%,지성에 좋아요,0%,보습에 좋아요,100%,진정에 좋아요,0%,주름/미백에 좋아요,0%,자극없이 순해요,67%,보통이에요,33%,자극이 느껴져요,0%
A000000174016,라로슈포제 NEW 시카플라스트밤B5+ 100ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017401604ko.jpg?l=ko,라로슈포제,"38,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,55%,복합성에 좋아요,43%,지성에 좋아요,3%,보습에 좋아요,52%,진정에 좋아요,45%,주름/미백에 좋아요,3%,자극없이 순해요,75%,보통이에요,25%,자극이 느껴져요,1%
A000000173332,[한정기획] 피지오겔 DMT 에센스 인 토너 200ml 기획(+50ml 추가 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017333202ko.jpg?l=ko,피지오겔,"30,000",4.8,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,50%,복합성에 좋아요,45%,지성에 좋아요,5%,보습에 좋아요,75%,진정에 좋아요,25%,주름/미백에 좋아요,0%,자극없이 순해요,87%,보통이에요,13%,자극이 느껴져요,0%
A000000173327,[한정기획] 피지오겔 AI로션 200ml 기획(+AI 포밍젤 20ml 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017332702ko.jpg?l=ko,피지오겔,"37,500",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,34%,복합성에 좋아요,57%,지성에 좋아요,9%,보습에 좋아요,60%,진정에 좋아요,40%,주름/미백에 좋아요,0%,자극없이 순해요,75%,보통이에요,23%,자극이 느껴져요,2%
A000000173323,[한정기획] 피지오겔 AI크림 100ml 기획(+AI 마스크팩 2매 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017332302ko.jpg?l=ko,피지오겔,"35,500",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,44%,복합성에 좋아요,54%,지성에 좋아요,3%,보습에 좋아요,64%,진정에 좋아요,36%,주름/미백에 좋아요,1%,자극없이 순해요,77%,보통이에요,23%,자극이 느껴져요,0%
A000000173322,[한정기획] 피지오겔 DMT 로션 100ml 기획(+50ml 추가 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017332202ko.jpg?l=ko,피지오겔,"28,500",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,49%,복합성에 좋아요,47%,지성에 좋아요,4%,보습에 좋아요,81%,진정에 좋아요,19%,주름/미백에 좋아요,1%,자극없이 순해요,80%,보통이에요,20%,자극이 느껴져요,1%
A000000173302,[진정+탄력+자외선]닥터디퍼런트 베스트 트라이얼 키트,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017330201ko.jpg?l=ko,닥터디퍼런트,"9,900",4.9,더모 코스메틱,스킨케어,스킨케어 세트,None,None,None,None,none,none,none,none,none,None,none,none,none,none,none,None,none,none,none,none,none
A000000173296,"유리아쥬 제모스 PSO 150ml 기획(+제모스스틱레브르4g, 스탠드 증정)",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017329616ko.jpg?l=ko,유리아쥬,"33,000",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,57%,복합성에 좋아요,43%,지성에 좋아요,1%,보습에 좋아요,87%,진정에 좋아요,13%,주름/미백에 좋아요,0%,자극없이 순해요,85%,보통이에요,15%,자극이 느껴져요,1%
A000000173295,유리아쥬 제모스토너 750ml (500ml+250ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017329509ko.jpg?l=ko,유리아쥬,"38,000",4.7,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,61%,복합성에 좋아요,34%,지성에 좋아요,5%,보습에 좋아요,77%,진정에 좋아요,23%,주름/미백에 좋아요,0%,자극없이 순해요,79%,보통이에요,21%,자극이 느껴져요,0%
A000000173043,피지오겔 DMT 기프트세트(크림150ml+로션200ml+크림30ml+로션50ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017304301ko.jpg?l=ko,피지오겔,"62,000",5,더모 코스메틱,스킨케어,스킨케어 세트,None,None,None,None,none,none,none,none,none,None,none,none,none,none,none,None,none,none,none,none,none
A000000172436,[피부특화 DNA성분]리쥬란힐러 턴오버 액티브 크림 50ml 기획(+더마힐러 크림10g),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017243603ko.jpg?l=ko,리쥬란,"49,000",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,43%,복합성에 좋아요,53%,지성에 좋아요,4%,보습에 좋아요,54%,진정에 좋아요,19%,주름/미백에 좋아요,27%,자극없이 순해요,76%,보통이에요,24%,자극이 느껴져요,0%
A000000172308,눅스 베리로즈 결광 에센스 150ml (코튼패드 20매 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017230801ko.jpg?l=ko,눅스,"36,000",4,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,50%,복합성에 좋아요,50%,지성에 좋아요,0%,보습에 좋아요,50%,진정에 좋아요,50%,주름/미백에 좋아요,0%,자극없이 순해요,50%,보통이에요,25%,자극이 느껴져요,25%
A000000172256,[한정기획] 피지오겔 DMT 포맨 에센셜 토너 200ml+15ml 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017225601ko.jpg?l=ko,피지오겔,"30,000",4.8,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,33%,복합성에 좋아요,67%,지성에 좋아요,0%,보습에 좋아요,78%,진정에 좋아요,22%,주름/미백에 좋아요,0%,자극없이 순해요,67%,보통이에요,33%,자극이 느껴져요,0%
A000000172248,[한정기획] 피지오겔 DMT 포맨 플루이드 100ml+20ml 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017224801ko.jpg?l=ko,피지오겔,"35,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,19%,복합성에 좋아요,53%,지성에 좋아요,28%,보습에 좋아요,78%,진정에 좋아요,22%,주름/미백에 좋아요,0%,자극없이 순해요,75%,보통이에요,25%,자극이 느껴져요,0%
A000000171829,바이오더마 아토덤 인텐시브 밤 500ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017182903ko.jpg?l=ko,바이오더마,"44,000",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,74%,복합성에 좋아요,23%,지성에 좋아요,3%,보습에 좋아요,85%,진정에 좋아요,15%,주름/미백에 좋아요,1%,자극없이 순해요,82%,보통이에요,18%,자극이 느껴져요,0%
A000000171715,[단독기획]에스트라 에이시카365 흔적진정세럼 40ml 기획(+세럼 5ml*2ea 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017171502ko.jpg?l=ko,에스트라,"38,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,22%,복합성에 좋아요,65%,지성에 좋아요,14%,보습에 좋아요,19%,진정에 좋아요,78%,주름/미백에 좋아요,3%,자극없이 순해요,74%,보통이에요,24%,자극이 느껴져요,2%
A000000171710,에스트라 아토베리어365 하이드로 에센스 200ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017171001ko.jpg?l=ko,에스트라,"32,000",4.8,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,55%,복합성에 좋아요,37%,지성에 좋아요,8%,보습에 좋아요,77%,진정에 좋아요,20%,주름/미백에 좋아요,3%,자극없이 순해요,78%,보통이에요,22%,자극이 느껴져요,0%
A000000170881,[메이크업아티스트Pick] 에스테덤 셀룰러 워터 미스트 200ml (항산화 미스트),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017088117ko.jpg?l=ko,에스테덤,"47,000",4.7,더모 코스메틱,스킨케어,미스트/오일,피부타입,피부고민,자극도,건성에 좋아요,0%,복합성에 좋아요,100%,지성에 좋아요,0%,보습에 좋아요,50%,진정에 좋아요,33%,주름/미백에 좋아요,17%,자극없이 순해요,83%,보통이에요,17%,자극이 느껴져요,0%
A000000170691,유세린 이븐래디언스 다크서클 아이크림 15ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017069105ko.jpg?l=ko,유세린,"39,000",4.4,더모 코스메틱,스킨케어,아이크림,피부타입,피부고민,자극도,건성에 좋아요,35%,복합성에 좋아요,62%,지성에 좋아요,3%,보습에 좋아요,41%,진정에 좋아요,12%,주름/미백에 좋아요,47%,자극없이 순해요,76%,보통이에요,24%,자극이 느껴져요,0%
A000000170690,유세린 이븐래디언스 모이스처라이저 50ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017069006ko.jpg?l=ko,유세린,"38,000",4.7,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,47%,복합성에 좋아요,53%,지성에 좋아요,0%,보습에 좋아요,63%,진정에 좋아요,5%,주름/미백에 좋아요,32%,자극없이 순해요,74%,보통이에요,21%,자극이 느껴져요,5%
A000000170689,유세린 이븐래디언스 듀오 앰플 30ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017068905ko.jpg?l=ko,유세린,"48,000",4.8,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,35%,복합성에 좋아요,59%,지성에 좋아요,6%,보습에 좋아요,25%,진정에 좋아요,12%,주름/미백에 좋아요,63%,자극없이 순해요,82%,보통이에요,16%,자극이 느껴져요,2%
A000000170637,[민가든Pick] 리쥬란힐러 턴오버 앰플 듀얼 이펙트 30ml(+1ml*5ea증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017063705ko.jpg?l=ko,리쥬란,"59,000",4.7,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,50%,복합성에 좋아요,44%,지성에 좋아요,6%,보습에 좋아요,47%,진정에 좋아요,14%,주름/미백에 좋아요,39%,자극없이 순해요,70%,보통이에요,30%,자극이 느껴져요,0%
A000000170509,[한정기획]아벤느 젠틀 토닝 로션 200ml 1+1 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017050910ko.jpg?l=ko,아벤느,"27,000",4.7,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,28%,복합성에 좋아요,50%,지성에 좋아요,23%,보습에 좋아요,31%,진정에 좋아요,69%,주름/미백에 좋아요,1%,자극없이 순해요,76%,보통이에요,22%,자극이 느껴져요,2%
A000000170505,[한정기획]아벤느 이드랑스 에센스 인 로션 200ml+100ml 기획(피크닉 매트 추가 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017050510ko.jpg?l=ko,아벤느,"30,000",4.8,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,38%,복합성에 좋아요,53%,지성에 좋아요,10%,보습에 좋아요,76%,진정에 좋아요,24%,주름/미백에 좋아요,1%,자극없이 순해요,80%,보통이에요,20%,자극이 느껴져요,1%
